Planet Earth II`(2016)`9.5`David Attenborough`https://www.imdb.com/title/tt5491994/
Monster`(2004)`8.5`Hidenobu Kiuchi, Liam O'Brien`https://www.imdb.com/title/tt0434706/
Mind Your Language`(1977)`8.5`Barry Evans, George Camiller`https://www.imdb.com/title/tt0075537/
Behzat Ç.: Bir Ankara Polisiyesi`(2010)`8.5`Erdal Besikçioglu, Inanç Konukçu`https://www.imdb.com/title/tt1795096/
Making a Murderer`(2015)`8.5`Dolores Avery, Steven Avery`https://www.imdb.com/title/tt5189670/
Yes Minister`(1980)`8.5`Paul Eddington, Nigel Hawthorne`https://www.imdb.com/title/tt0080306/
The Newsroom`(2012)`8.5`Jeff Daniels, Emily Mortimer`https://www.imdb.com/title/tt1870479/
Content Cop`(2015)`8.5`Ian Carter, Calvin Vail`https://www.imdb.com/title/tt6111552/
Umbre`(2014)`8.5`Serban Pavlu, Maria Obretin`https://www.imdb.com/title/tt4269716/
Panchayat`(2020)`8.5`Jitendra Kumar, Raghuvir Yadav`https://www.imdb.com/title/tt12004706/
Poirot`(1989)`8.5`David Suchet, Hugh Fraser`https://www.imdb.com/title/tt0094525/
Spaced`(1999)`8.5`Jessica Hynes, Simon Pegg`https://www.imdb.com/title/tt0187664/
Pose`(2018)`8.5`Mj Rodriguez, Dominique Jackson`https://www.imdb.com/title/tt7562112/
El Chavo del Ocho`(1972)`8.5`Ramón Valdés, Carlos Villagrán`https://www.imdb.com/title/tt0229889/
Brass Eye`(1997)`8.5`Christopher Morris, Mark Heap`https://www.imdb.com/title/tt0118273/
Dragon Ball`(1986)`8.5`Masako Nozawa, Jôji Yanami`https://www.imdb.com/title/tt0088509/
Skam`(2015)`8.5`Josefine Frida Pettersen, Iman Meskini`https://www.imdb.com/title/tt5288312/
Justified`(2010)`8.5`Timothy Olyphant, Nick Searcy`https://www.imdb.com/title/tt1489428/
Justice League`(2001)`8.5`Carl Lumbly, Phil LaMarr`https://www.imdb.com/title/tt0275137/
It's Okay to Not Be Okay`(2020)`8.5`Kim Soo-Hyun, Seo Ye-Ji`https://www.imdb.com/title/tt12451520/
Dragon Ball`(1995)`8.5`Brice Armstrong, Steve Olson`https://www.imdb.com/title/tt0280249/
Neon Genesis Evangelion`(1995)`8.5`Megumi Ogata, Megumi Hayashibara`https://www.imdb.com/title/tt0112159/
Yes, Prime Minister`(1986)`8.5`Paul Eddington, Nigel Hawthorne`https://www.imdb.com/title/tt0086831/
Adventure Time`(2010)`8.5`John DiMaggio, Jeremy Shada`https://www.imdb.com/title/tt1305826/
Samurai Champloo`(2004)`8.5`Kazuya Nakai, Ginpei Sato`https://www.imdb.com/title/tt0423731/
Boardwalk Empire`(2010)`8.5`Steve Buscemi, Kelly Macdonald`https://www.imdb.com/title/tt0979432/
Twin Peaks`(2017)`8.5`Kyle MacLachlan, Sheryl Lee`https://www.imdb.com/title/tt4093826/
Second Spring`(1998)`8.5`Türkan Soray, Sener Sen`https://www.imdb.com/title/tt0264700/
Fullmetal Alchemist`(2003)`8.5`Vic Mignogna, Aaron Dismuke`https://www.imdb.com/title/tt0421357/
Pew News`(2018)`8.5`Mary Katherine Ham, Felix Kjellberg`https://www.imdb.com/title/tt9566030/
Mr. Bean`(1990)`8.5`Rowan Atkinson, Robin Driscoll`https://www.imdb.com/title/tt0096657/
Flight of the Conchords`(2007)`8.5`Jemaine Clement, Bret McKenzie`https://www.imdb.com/title/tt0863046/
From the Earth to the Moon`(1998)`8.5`Tom Hanks, Nick Searcy`https://www.imdb.com/title/tt0120570/
The Bugs Bunny/Road Runner Hour`(1968)`8.5`Mel Blanc, Jim Backus`https://www.imdb.com/title/tt0062550/
Letterkenny`(2016)`8.5`Jared Keeso, Nathan Dales`https://www.imdb.com/title/tt4647692/
Mystery Science Theater 3000`(1988)`8.5`Joel Hodgson, Michael J. Nelson`https://www.imdb.com/title/tt0094517/
The Great British Baking Show`(2010)`8.5`Paul Hollywood, Mary Berry`https://www.imdb.com/title/tt1877368/
Chef's Table`(2015)`8.5`Dan Barber, Massimo Bottura`https://www.imdb.com/title/tt4295140/
Doctor Who`(2005)`8.5`Jodie Whittaker, Peter Capaldi`https://www.imdb.com/title/tt0436992/
Hunter x Hunter`(1999)`8.5`Hozumi Gôda, Yuki Kaida`https://www.imdb.com/title/tt0426719/
Shameless`(2011)`8.5`Emmy Rossum, William H. Macy`https://www.imdb.com/title/tt1586680/
Love, Death & Robots`(2019)`8.5`Scott Whyte, Nolan North`https://www.imdb.com/title/tt9561862/
Coupling`(2000)`8.5`Jack Davenport, Gina Bellman`https://www.imdb.com/title/tt0237123/
The IT Crowd`(2006)`8.5`Chris O'Dowd, Richard Ayoade`https://www.imdb.com/title/tt0487831/
Impractical Jokers`(2011)`8.5`Brian Quinn, James Murray`https://www.imdb.com/title/tt2100976/
Mr. Robot`(2015)`8.5`Rami Malek, Christian Slater`https://www.imdb.com/title/tt4158110/
Detectorists`(2014)`8.5`Mackenzie Crook, Toby Jones`https://www.imdb.com/title/tt4082744/
The Untold History of the United States`(2012)`8.5`Oliver Stone, Alan Shearman`https://www.imdb.com/title/tt1494191/
The Defiant Ones`(2017)`8.5`Bono, Dr. Dre`https://www.imdb.com/title/tt6958022/
Alfred Hitchcock Presents`(1955)`8.5`Alfred Hitchcock, Harry Tyler`https://www.imdb.com/title/tt0047708/
Generation Kill`(2008)`8.5`Alexander Skarsgård, James Ransone`https://www.imdb.com/title/tt0995832/
Louie`(2010)`8.5`Louis C.K., Hadley Delany`https://www.imdb.com/title/tt1492966/
Endeavour`(2012)`8.5`Shaun Evans, Roger Allam`https://www.imdb.com/title/tt2701582/
Naruto: Shippûden`(2007)`8.5`Junko Takeuchi, Maile Flanagan`https://www.imdb.com/title/tt0988824/
Silicon Valley`(2014)`8.5`Thomas Middleditch, T.J. Miller`https://www.imdb.com/title/tt2575988/
Homicide: Life on the Street`(1993)`8.5`Richard Belzer, Clark Johnson`https://www.imdb.com/title/tt0106028/
GTO`(1999)`8.5`Steve Blum, Tom Fahn`https://www.imdb.com/title/tt0315008/
The Night Of`(2016)`8.5`Riz Ahmed, John Turturro`https://www.imdb.com/title/tt2401256/
Mob Psycho 100`(2016)`8.5`Setsuo Ito, Takahiro Sakurai`https://www.imdb.com/title/tt5897304/
Whose Line Is It Anyway?`(1998)`8.5`Drew Carey, Colin Mochrie`https://www.imdb.com/title/tt0163507/
Big Little Lies`(2017)`8.5`Reese Witherspoon, Nicole Kidman`https://www.imdb.com/title/tt3920596/
I'm Alan Partridge`(1997)`8.5`Steve Coogan, Simon Greenall`https://www.imdb.com/title/tt0129690/
Spartacus: Gods of the Arena`(2011)`8.5`John Hannah, Manu Bennett`https://www.imdb.com/title/tt1758429/
Hannibal`(2013)`8.5`Hugh Dancy, Mads Mikkelsen`https://www.imdb.com/title/tt2243973/
Sacred Games`(2018)`8.5`Saif Ali Khan, Nawazuddin Siddiqui`https://www.imdb.com/title/tt6077448/
The Office`(2001)`8.5`Ricky Gervais, Martin Freeman`https://www.imdb.com/title/tt0290978/
Horace and Pete`(2016)`8.5`Louis C.K., Steve Buscemi`https://www.imdb.com/title/tt5425186/
Shigatsu wa kimi no uso`(2014)`8.5`Natsuki Hanae, Risa Taneda`https://www.imdb.com/title/tt3895150/
Sons of Anarchy`(2008)`8.5`Charlie Hunnam, Katey Sagal`https://www.imdb.com/title/tt1124373/
Erased`(2016)`8.5`Ben Diskin, Shinnosuke Mitsushima`https://www.imdb.com/title/tt5249462/
My Brilliant Friend`(2018)`8.5`Alba Rohrwacher, Margherita Mazzucco`https://www.imdb.com/title/tt7278862/
Ezel`(2009)`8.5`Kenan Imirzalioglu, Cansu Dere`https://www.imdb.com/title/tt1534360/
The New Batman Adventures`(1997)`8.5`Kevin Conroy, Tara Strong`https://www.imdb.com/title/tt0118266/
Black Books`(2000)`8.5`Dylan Moran, Bill Bailey`https://www.imdb.com/title/tt0262150/
Delhi Crime`(2019)`8.5`Shefali Shah, Rajesh Tailang`https://www.imdb.com/title/tt9398466/
John Adams`(2008)`8.5`Paul Giamatti, Laura Linney`https://www.imdb.com/title/tt0472027/
What We Do in the Shadows`(2019)`8.5`Kayvan Novak, Matt Berry`https://www.imdb.com/title/tt7908628/
Spartacus`(2010)`8.5`Andy Whitfield, Lucy Lawless`https://www.imdb.com/title/tt1442449/
Satyamev Jayate`(2012)`8.5`Aamir Khan, Devendra Singh Gaur`https://www.imdb.com/title/tt2360717/
Normal People`(2020)`8.5`Daisy Edgar-Jones, Paul Mescal`https://www.imdb.com/title/tt9059760/
Hilda`(2018)`8.4`Bella Ramsey, Ameerah Falzon-Ojo`https://www.imdb.com/title/tt6385540/
Samurai Jack`(2001)`8.4`Phil LaMarr, Mako`https://www.imdb.com/title/tt0278238/
The Punisher`(2017)`8.4`Jon Bernthal, Amber Rose Revah`https://www.imdb.com/title/tt5675620/
The Venture Bros.`(2003)`8.4`Christopher McCulloch, James Urbaniak`https://www.imdb.com/title/tt0417373/
Guardian: The Lonely and Great God`(2016)`8.4`Gong Yoo, Kim Go-eun`https://www.imdb.com/title/tt5994364/
Dr. Horrible's Sing-Along Blog`(2008)`8.4`Neil Patrick Harris, Nathan Fillion`https://www.imdb.com/title/tt1227926/
Harley Quinn`(2019)`8.4`Kaley Cuoco, Lake Bell`https://www.imdb.com/title/tt7658402/
Community`(2009)`8.4`Joel McHale, Danny Pudi`https://www.imdb.com/title/tt1439629/
Wentworth`(2013)`8.4`Kate Atkinson, Katrina Milosevic`https://www.imdb.com/title/tt2433738/
Generation War`(2013)`8.4`Volker Bruch, Tom Schilling`https://www.imdb.com/title/tt1883092/
